Entity,Code,Year,Life expectancy
Argentina,ARG,1960,64
Argentina,ARG,1961,64.4
Argentina,ARG,1962,64.2
Argentina,ARG,1963,64.4
Argentina,ARG,1964,64.4
Argentina,ARG,1965,64.6
Argentina,ARG,1966,64.9
Argentina,ARG,1967,65
Argentina,ARG,1968,64.9
Argentina,ARG,1969,64.9
Argentina,ARG,1970,66.5
Argentina,ARG,1971,65.6
Argentina,ARG,1972,65.5
Argentina,ARG,1973,65.9
Argentina,ARG,1974,66.3
Argentina,ARG,1975,66.6
Argentina,ARG,1976,67.1
Argentina,ARG,1977,67.2
Argentina,ARG,1978,67.9
Argentina,ARG,1979,68.2
Argentina,ARG,1980,68.5
Argentina,ARG,1981,68.6
Argentina,ARG,1982,69
Argentina,ARG,1983,68.9
Argentina,ARG,1984,69.3
Argentina,ARG,1985,69.2
Argentina,ARG,1986,69.7
Argentina,ARG,1987,70.1
Argentina,ARG,1988,70.6
Argentina,ARG,1989,71.1
Argentina,ARG,1990,71.4
Argentina,ARG,1991,71.8
Argentina,ARG,1992,72.3
Argentina,ARG,1993,72.4
Argentina,ARG,1994,72.6
Argentina,ARG,1995,73.2
Argentina,ARG,1996,73.1
Argentina,ARG,1997,73.3
Argentina,ARG,1998,73.1
Argentina,ARG,1999,73.5
Argentina,ARG,2000,73.7
Argentina,ARG,2001,73.9
Argentina,ARG,2002,74.2
Argentina,ARG,2003,74.4
Argentina,ARG,2004,74.1
Argentina,ARG,2005,74.9
Argentina,ARG,2006,75.1
Argentina,ARG,2007,75.4
Argentina,ARG,2008,75
Argentina,ARG,2009,75.6
Argentina,ARG,2010,75.9
Argentina,ARG,2011,75.7
Argentina,ARG,2012,76.1
Argentina,ARG,2013,76.5
Argentina,ARG,2014,76.5
Argentina,ARG,2015,76.8
Argentina,ARG,2016,76.8
Argentina,ARG,2017,76.3
Argentina,ARG,2018,76.8
Argentina,ARG,2019,77
Argentina,ARG,2020,77.3
Argentina,ARG,2021,75.9
Argentina,ARG,2022,75.4
Australia,AUS,1962,71
Australia,AUS,1967,70.8
Australia,AUS,1976,72.8
Australia,AUS,1981,74.8
Australia,AUS,1982,74.6
Australia,AUS,1983,75.4
Australia,AUS,1984,75.7
Australia,AUS,1985,75.5
Australia,AUS,1986,76
Australia,AUS,1987,76.2
Australia,AUS,1988,76.2
Australia,AUS,1989,76.4
Australia,AUS,1990,76.9
Australia,AUS,1991,77.3
Australia,AUS,1992,77.4
Australia,AUS,1993,77.9
Australia,AUS,1994,77.9
Australia,AUS,1995,77.8
Australia,AUS,1996,78.1
Australia,AUS,1997,78.4
Australia,AUS,1998,78.6
Australia,AUS,1999,78.9
Australia,AUS,2000,79.2
Australia,AUS,2001,79.6
Australia,AUS,2002,79.9
Australia,AUS,2003,80.2
Australia,AUS,2004,80.5
Australia,AUS,2005,80.8
Australia,AUS,2006,81
Australia,AUS,2007,81.3
Australia,AUS,2008,81.4
Australia,AUS,2009,81.5
Australia,AUS,2010,81.7
Australia,AUS,2011,81.9
Australia,AUS,2012,82
Australia,AUS,2013,82.1
Australia,AUS,2014,82.3
Australia,AUS,2015,82.4
Australia,AUS,2016,82.4
Australia,AUS,2017,82.5
Australia,AUS,2018,82.7
Australia,AUS,2019,82.9
Australia,AUS,2020,83.2
Australia,AUS,2021,83.3
Austria,AUT,1960,68.7
Austria,AUT,1961,69.7
Austria,AUT,1962,69.4
Austria,AUT,1963,69.6
Austria,AUT,1964,70
Austria,AUT,1965,69.8
Austria,AUT,1966,70.2
Austria,AUT,1967,70
Austria,AUT,1968,70.2
Austria,AUT,1969,69.9
Austria,AUT,1970,70.1
Austria,AUT,1971,70.3
Austria,AUT,1972,70.7
Austria,AUT,1973,71.2
Austria,AUT,1974,71.2
Austria,AUT,1975,71.4
Austria,AUT,1976,71.8
Austria,AUT,1977,72.2
Austria,AUT,1978,72.3
Austria,AUT,1979,72.6
Austria,AUT,1980,72.7
Austria,AUT,1981,73
Austria,AUT,1982,73.2
Austria,AUT,1983,73.3
Austria,AUT,1984,73.9
Austria,AUT,1985,74.1
Austria,AUT,1986,74.5
Austria,AUT,1987,75
Austria,AUT,1988,75.5
Austria,AUT,1989,75.6
Austria,AUT,1990,75.8
Austria,AUT,1991,75.9
Austria,AUT,1992,76.1
Austria,AUT,1993,76.3
Austria,AUT,1994,76.7
Austria,AUT,1995,76.9
Austria,AUT,1996,77.1
Austria,AUT,1997,77.5
Austria,AUT,1998,77.9
Austria,AUT,1999,78.1
Austria,AUT,2000,78.3
Austria,AUT,2001,78.8
Austria,AUT,2002,78.9
Austria,AUT,2003,78.8
Austria,AUT,2004,79.3
Austria,AUT,2005,79.5
Austria,AUT,2006,80.1
Austria,AUT,2007,80.3
Austria,AUT,2008,80.6
Austria,AUT,2009,80.5
